"date","week","light","area","plant","diameter1","diameter2"
"2021-06-08",3,"SH60","3SH60","43SH60",32,30
"2021-06-08",3,"SH60","4SH60","14SH60",29,31
"2021-06-08",3,"SH60","4SH60","24SH60",29,29
"2021-06-08",3,"SH60","4SH60","34SH60",28,30
"2021-06-08",3,"SH60","4SH60","44SH60",30,31
"2021-06-08",3,"HSH60","1HSH60","11HSH60",28,28
"2021-06-08",3,"HSH60","1HSH60","21HSH60",25,27
"2021-06-08",3,"HSH60","1HSH60","31HSH60",23,27
"2021-06-08",3,"HSH60","1HSH60","41HSH60",23,29
"2021-06-08",3,"HSH60","2HSH60","12HSH60",26,30
"2021-06-08",3,"HSH60","2HSH60","22HSH60",29,33
"2021-06-08",3,"HSH60","2HSH60","32HSH60",28,30
"2021-06-08",3,"HSH60","2HSH60","42HSH60",30,31
"2021-06-08",3,"HSH60","3HSH60","13HSH60",31,32
"2021-06-08",3,"HSH60","3HSH60","23HSH60",30,29
"2021-06-08",3,"HSH60","3HSH60","33HSH60",33,25
"2021-06-08",3,"HSH60","3HSH60","43HSH60",30,29
"2021-06-08",3,"HSH60","4HSH60","14HSH60",29,32
"2021-06-08",3,"HSH60","4HSH60","24HSH60",29,30
"2021-06-08",3,"HSH60","4HSH60","34HSH60",30,31
"2021-06-08",3,"HSH60","4HSH60","44HSH60",31,29
"2021-06-08",3,"SH30","1SH30","11SH30",21,28
"2021-06-08",3,"SH30","1SH30","21SH30",20,30
"2021-06-08",3,"SH30","1SH30","31SH30",28,31
"2021-06-08",3,"SH30","1SH30","41SH30",26,30
"2021-06-08",3,"SH30","2SH30","12SH30",30,29
"2021-06-08",3,"SH30","2SH30","22SH30",30,28
"2021-06-08",3,"SH30","2SH30","32SH30",31,26
"2021-06-08",3,"SH30","2SH30","42SH30",28,27
"2021-06-08",3,"SH30","3SH30","13SH30",28,27
"2021-06-08",3,"SH30","3SH30","23SH30",29,29
"2021-06-08",3,"SH30","3SH30","33SH30",27,30
"2021-06-08",3,"SH30","3SH30","43SH30",26,30
"2021-06-08",3,"SH30","4SH30","14SH30",25,29
"2021-06-08",3,"SH30","4SH30","24SH30",25,28
"2021-06-08",3,"SH30","4SH30","34SH30",24,29
"2021-06-08",3,"SH30","4SH30","44SH30",22,33
"2021-06-08",3,"FL","1FL","11FL",20,22
"2021-06-08",3,"FL","1FL","21FL",24,24
"2021-06-08",3,"FL","1FL","31FL",30,26
"2021-06-08",3,"FL","1FL","41FL",25,25
"2021-06-08",3,"FL","2FL","12FL",24,26
"2021-06-08",3,"FL","2FL","22FL",26,20
"2021-06-08",3,"FL","2FL","32FL",25,25
"2021-06-08",3,"FL","2FL","42FL",30,26
"2021-06-08",3,"FL","3FL","13FL",21,25
"2021-06-08",3,"FL","3FL","23FL",22,24
"2021-06-08",3,"FL","3FL","33FL",23,22
"2021-06-08",3,"FL","3FL","43FL",24,26
"2021-06-08",3,"FL","4FL","14FL",25,25
"2021-06-08",3,"FL","4FL","24FL",26,23
"2021-06-08",3,"FL","4FL","34FL",24,23
"2021-06-08",3,"FL","4FL","44FL",22,21
"2021-06-15",4,"SH60","1SH60","11SH60",30,31
"2021-06-15",4,"SH60","1SH60","21SH60",35,33
"2021-06-15",4,"SH60","1SH60","31SH60",35,35
"2021-06-15",4,"SH60","1SH60","41SH60",34,34
"2021-06-15",4,"SH60","2SH60","12SH60",36,32
"2021-06-15",4,"SH60","2SH60","22SH60",34,36
"2021-06-15",4,"SH60","2SH60","32SH60",30,35
"2021-06-15",4,"SH60","2SH60","42SH60",30,30
"2021-06-15",4,"SH60","3SH60","13SH60",31,30
"2021-06-15",4,"SH60","3SH60","23SH60",32,34
"2021-06-15",4,"SH60","3SH60","33SH60",33,31
"2021-06-15",4,"SH60","3SH60","43SH60",35,32
"2021-06-15",4,"SH60","4SH60","14SH60",35,32
"2021-06-15",4,"SH60","4SH60","24SH60",34,33
"2021-06-15",4,"SH60","4SH60","34SH60",36,33
"2021-06-15",4,"SH60","4SH60","44SH60",36,35
"2021-06-15",4,"HSH60","1HSH60","11HSH60",29,35
"2021-06-15",4,"HSH60","1HSH60","21HSH60",30,34
"2021-06-15",4,"HSH60","1HSH60","31HSH60",35,32
"2021-06-15",4,"HSH60","1HSH60","41HSH60",34,30
"2021-06-15",4,"HSH60","2HSH60","12HSH60",32,34
"2021-06-15",4,"HSH60","2HSH60","22HSH60",33,29
"2021-06-15",4,"HSH60","2HSH60","32HSH60",34,29
"2021-06-15",4,"HSH60","2HSH60","42HSH60",30,35
"2021-06-15",4,"HSH60","3HSH60","13HSH60",29,34
"2021-06-15",4,"HSH60","3HSH60","23HSH60",35,30
"2021-06-15",4,"HSH60","3HSH60","33HSH60",30,33
"2021-06-15",4,"HSH60","3HSH60","43HSH60",33,31
"2021-06-15",4,"HSH60","4HSH60","14HSH60",33,31
"2021-06-15",4,"HSH60","4HSH60","24HSH60",32,33
"2021-06-15",4,"HSH60","4HSH60","34HSH60",31,30
"2021-06-15",4,"HSH60","4HSH60","44HSH60",33,29
"2021-06-15",4,"SH30","1SH30","11SH30",25,35
"2021-06-15",4,"SH30","1SH30","21SH30",28,34
"2021-06-15",4,"SH30","1SH30","31SH30",30,30
"2021-06-15",4,"SH30","1SH30","41SH30",30,30
"2021-06-15",4,"SH30","2SH30","12SH30",34,35
"2021-06-15",4,"SH30","2SH30","22SH30",31,31
"2021-06-15",4,"SH30","2SH30","32SH30",32,33
"2021-06-15",4,"SH30","2SH30","42SH30",30,33
"2021-06-15",4,"SH30","3SH30","13SH30",29,31
"2021-06-15",4,"SH30","3SH30","23SH30",28,32
"2021-06-15",4,"SH30","3SH30","33SH30",30,29
"2021-06-15",4,"SH30","3SH30","43SH30",31,32
"2021-06-15",4,"SH30","4SH30","14SH30",29,33
"2021-06-15",4,"SH30","4SH30","24SH30",30,33
"2021-06-15",4,"SH30","4SH30","34SH30",30,30
"2021-06-15",4,"SH30","4SH30","44SH30",31,30
"2021-06-15",4,"FL","1FL","11FL",21,21
"2021-06-15",4,"FL","1FL","21FL",23,24
"2021-06-15",4,"FL","1FL","31FL",25,23
"2021-06-15",4,"FL","1FL","41FL",24,21
"2021-06-15",4,"FL","2FL","12FL",24,27
"2021-06-15",4,"FL","2FL","22FL",24,26
"2021-06-15",4,"FL","2FL","32FL",26,21
"2021-06-15",4,"FL","2FL","42FL",25,20
"2021-06-15",4,"FL","3FL","13FL",23,26
"2021-06-15",4,"FL","3FL","23FL",25,22
"2021-06-15",4,"FL","3FL","33FL",22,26
"2021-06-15",4,"FL","3FL","43FL",24,24
"2021-06-15",4,"FL","4FL","14FL",21,21
"2021-06-15",4,"FL","4FL","24FL",25,23
"2021-06-15",4,"FL","4FL","34FL",25,27
"2021-06-15",4,"FL","4FL","44FL",24,25
