"date","week","light","area","plant","height","number_leaves"
"2021-05-06",3,"SH","23SH","123SH",3,3
"2021-05-06",3,"SH","23SH","223SH",2,3
"2021-05-06",3,"SH","23SH","323SH",4,3
"2021-05-06",3,"SH","24SH","124SH",5,3
"2021-05-06",3,"SH","24SH","224SH",4,3
"2021-05-06",3,"SH","24SH","324SH",3,3
"2021-05-13",4,"FL","1FL","11FL",7,6
"2021-05-13",4,"FL","1FL","21FL",6,7
"2021-05-13",4,"FL","1FL","31FL",7,7
"2021-05-13",4,"FL","2FL","12FL",6,6
"2021-05-13",4,"FL","2FL","22FL",8,7
"2021-05-13",4,"FL","2FL","32FL",5,6
"2021-05-13",4,"FL","3FL","13FL",6,8
"2021-05-13",4,"FL","3FL","23FL",9,6
"2021-05-13",4,"FL","3FL","33FL",6,6
"2021-05-13",4,"FL","4FL","14FL",8,6
"2021-05-13",4,"FL","4FL","24FL",9,7
"2021-05-13",4,"FL","4FL","34FL",8,6
"2021-05-13",4,"FL","5FL","15FL",7,7
"2021-05-13",4,"FL","5FL","25FL",6,6
"2021-05-13",4,"FL","5FL","35FL",6,6
"2021-05-13",4,"FL","6FL","16FL",7,7
"2021-05-13",4,"FL","6FL","26FL",6,7
"2021-05-13",4,"FL","6FL","36FL",6,6
"2021-05-13",4,"SH","1SH","11SH",6,5
"2021-05-13",4,"SH","1SH","21SH",5,6
"2021-05-13",4,"SH","1SH","31SH",7,5
"2021-05-13",4,"SH","2SH","12SH",7,7
"2021-05-13",4,"SH","2SH","22SH",6,6
"2021-05-13",4,"SH","2SH","32SH",5,5
"2021-05-13",4,"SH","3SH","13SH",6,7
"2021-05-13",4,"SH","3SH","23SH",6,8
"2021-05-13",4,"SH","3SH","33SH",7,6
"2021-05-13",4,"SH","4SH","14SH",5,6
"2021-05-13",4,"SH","4SH","24SH",5,8
"2021-05-13",4,"SH","4SH","34SH",6,6
"2021-05-13",4,"SH","5SH","15SH",7,7
"2021-05-13",4,"SH","5SH","25SH",6,6
"2021-05-13",4,"SH","5SH","35SH",6,6
"2021-05-13",4,"SH","6SH","16SH",6,6
"2021-05-13",4,"SH","6SH","26SH",7,5
"2021-05-13",4,"SH","6SH","36SH",6,6
"2021-05-13",4,"SH","7SH","17SH",8,8
"2021-05-13",4,"SH","7SH","27SH",8,8
"2021-05-13",4,"SH","7SH","37SH",7,8
"2021-05-13",4,"SH","8SH","18SH",5,6
"2021-05-13",4,"SH","8SH","28SH",5,5
"2021-05-13",4,"SH","8SH","38SH",5,6
"2021-05-13",4,"SH","9SH","19SH",6,6
"2021-05-13",4,"SH","9SH","29SH",5,7
"2021-05-13",4,"SH","9SH","39SH",7,6
"2021-05-13",4,"SH","10SH","110SH",6,6
"2021-05-13",4,"SH","10SH","210SH",7,7
"2021-05-13",4,"SH","10SH","310SH",5,6
"2021-05-13",4,"SH","11SH","111SH",6,6
"2021-05-13",4,"SH","11SH","211SH",6,7
"2021-05-13",4,"SH","11SH","311SH",5,6
"2021-05-13",4,"SH","12SH","112SH",7,6
"2021-05-13",4,"SH","12SH","212SH",6,7
"2021-05-13",4,"SH","12SH","312SH",5,6
"2021-05-13",4,"SH","13SH","113SH",7,6
"2021-05-13",4,"SH","13SH","213SH",5,7
"2021-05-13",4,"SH","13SH","313SH",5,7
"2021-05-13",4,"SH","14SH","114SH",6,6
"2021-05-13",4,"SH","14SH","214SH",5,7
"2021-05-13",4,"SH","14SH","314SH",6,6
"2021-05-13",4,"SH","15SH","115SH",7,6
"2021-05-13",4,"SH","15SH","215SH",7,6
"2021-05-13",4,"SH","15SH","315SH",6,6
"2021-05-13",4,"SH","16SH","116SH",7,7
"2021-05-13",4,"SH","16SH","216SH",5,6
"2021-05-13",4,"SH","16SH","316SH",6,6
"2021-05-13",4,"SH","17SH","117SH",5,7
"2021-05-13",4,"SH","17SH","217SH",6,6
"2021-05-13",4,"SH","17SH","317SH",7,6
"2021-05-13",4,"SH","18SH","118SH",7,7
"2021-05-13",4,"SH","18SH","218SH",5,6
"2021-05-13",4,"SH","18SH","318SH",6,6
"2021-05-13",4,"SH","19SH","119SH",5,6
