"date","week","light","area","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers"
2021-05-26,3,"FL","1FL","41FL",45,35,45,96,5,0
2021-05-26,3,"FL","2FL","12FL",41,37,49,100,7,0
2021-05-26,3,"FL","2FL","22FL",39,50,50,97,6,0
2021-05-26,3,"FL","2FL","32FL",43,32,44,83,7,0
2021-05-26,3,"FL","2FL","42FL",37,41,39,97,9,0
2021-05-26,3,"FL","3FL","13FL",32,31,45,101,6,0
2021-05-26,3,"FL","3FL","23FL",40,36,47,97,8,0
2021-05-26,3,"FL","3FL","33FL",45,38,50,95,8,0
2021-05-26,3,"FL","3FL","43FL",40,43,41,94,6,0
2021-05-26,3,"FL","4FL","14FL",50,30,42,96,7,0
2021-05-26,3,"FL","4FL","24FL",39,37,44,100,9,0
2021-05-26,3,"FL","4FL","34FL",47,40,49,101,9,0
2021-05-26,3,"FL","4FL","44FL",39,48,51,97,6,0
2021-05-26,3,"SH30","1SH30","11SH30",35,33,40,90,7,0
2021-05-26,3,"SH30","1SH30","21SH30",47,30,31,95,8,4
2021-05-26,3,"SH30","1SH30","31SH30",50,40,53,99,6,5
2021-05-26,3,"SH30","1SH30","41SH30",40,43,41,98,8,2
2021-05-26,3,"SH30","2SH30","12SH30",51,51,52,101,5,4
2021-05-26,3,"SH30","2SH30","22SH30",46,52,53,97,7,0
2021-05-26,3,"SH30","2SH30","32SH30",40,61,47,85,8,4
2021-05-26,3,"SH30","2SH30","42SH30",32,43,49,87,7,0
2021-05-26,3,"SH30","3SH30","13SH30",30,37,38,89,9,7
2021-05-26,3,"SH30","3SH30","23SH30",41,39,39,89,9,4
2021-05-26,3,"SH30","3SH30","33SH30",46,42,40,80,6,4
2021-05-26,3,"SH30","3SH30","43SH30",39,43,45,95,7,0
2021-05-26,3,"SH30","4SH30","14SH30",37,41,43,97,8,2
2021-05-26,3,"SH30","4SH30","24SH30",45,30,37,99,6,1
2021-05-26,3,"SH30","4SH30","34SH30",36,37,35,100,8,4
2021-05-26,3,"SH30","4SH30","44SH30",42,39,33,100,7,0
2021-05-26,3,"HSH60","1HSH60","11HSH60",37,30,20,110,8,3
2021-05-26,3,"HSH60","1HSH60","21HSH60",32,33,31,110,7,3
2021-05-26,3,"HSH60","1HSH60","31HSH60",52,50,43,80,8,0
2021-05-26,3,"HSH60","1HSH60","41HSH60",37,53,40,81,6,4
2021-05-26,3,"HSH60","2HSH60","12HSH60",50,50,60,120,4,0
2021-05-26,3,"HSH60","2HSH60","22HSH60",33,43,41,66,10,6
2021-05-26,3,"HSH60","2HSH60","32HSH60",50,60,42,120,7,4
2021-05-26,3,"HSH60","2HSH60","42HSH60",30,51,46,90,8,0
2021-05-26,3,"HSH60","3HSH60","13HSH60",34,30,31,70,7,3
2021-05-26,3,"HSH60","3HSH60","23HSH60",45,42,37,81,7,3
2021-05-26,3,"HSH60","3HSH60","33HSH60",20,36,25,70,7,0
2021-05-26,3,"HSH60","3HSH60","43HSH60",53,42,38,110,6,0
2021-05-26,3,"HSH60","4HSH60","14HSH60",45,37,29,96,9,0
